id	HD	PH
N0060	0.922409076	0.769724412
N0061	0.021655533	-0.008497137
N0062	0.322102747	0.155586838
N0063	-0.171848196	0.543512724
N0064	-0.131981853	3.40228257
N0065	-0.521960315	-1.29353375
N0066	0.541509983	-0.143182658
N0067	0.067945612	1.586772207
N0068	-0.396275313	-0.462271043
N0069	-0.144748066	0.46727117
N0070	0.378808888	-0.12861256
N0071	3.490706903	-0.494841738
N0072	0.165547227	1.461421415
N0073	0.6705433	2.237097538
N0074	0.495170027	0.00382065
N0075	-0.473248296	-0.581515408
N0076	2.58005032	1.047372144
N0077	-0.454606248	-0.521771
N0078	-0.590831307	-0.084785964
N0079	-1.099736412	1.574570889
N0080	-0.544797772	-0.751733056
N0081	1.172849144	0.865099516
N0082	0.497663825	1.129551252
N0083	-0.129655487	-0.039419793
N0084	2.450994748	-0.381022396
N0085	-1.570173779	0.216999941
N0086	0.681632486	2.467632088
N0087	3.330895028	1.81740206
N0088	0.660009739	0.155995584
N0089	1.411537279	1.511511385
N0090	-0.131570771	-0.692270787
N0091	0.089025056	0.79114052
N0092	-1.247057512	-2.185186566
N0093	-0.274048564	0.390080216
N0094	0.026544646	0.051522541
N0095	0.573418879	1.128358332
N0096	0.341025395	-0.691684092
N0097	0.376351471	1.626155608
N0098	-0.327883311	-0.378587164
N0099	2.425510593	1.982369786
N0100	2.158827637	0.813258817
N0101	1.400822537	0.769600321
N0102	1.3232397	-0.026125241
N0103	-0.002961944	-0.319475377
N0104	0.871509061	0.705187565
N0105	0.042896747	0.502966695
N0106	0.162458164	1.059763795
